subject,time_to_repair,treat
38,131,3
120,137,0
153,111,1
278,101,2
294,130,2
296,127,3
383,136,2
442,134,0
525,101,1
562,131,3
627,88,0
674,138,2
742,140,3
839,147,3
958,77,0
987,86,0
1221,83,0
1226,117,3
1235,135,2
1255,142,2
1498,133,1
1549,99,0
1695,77,0
1739,124,1
1917,85,1
1965,134,3
2160,141,1
2200,104,0
2218,128,2
2551,115,2
2594,113,0
2738,119,0
2743,80,0
2902,86,1
3004,76,3
3061,121,3
3079,143,3
3150,94,2
3181,135,3
3200,134,0
3479,101,2
3523,146,3
3750,78,1
3772,111,1
3806,117,2
3887,76,3
3902,130,3
4127,119,2
4195,141,0
4235,94,0
4238,125,0
4466,113,3
4930,118,2
5048,134,3
5061,104,0
5067,117,0
5148,93,1
5323,96,1
5346,105,1
5375,117,2
5393,145,0
5431,116,2
5435,120,1
5444,68,0
5509,127,1
5532,123,2
5570,134,2
5606,106,0
5657,74,0
5814,148,3
5871,119,2
6068,83,1
6136,171,3
6145,106,3
6300,131,0
6353,118,3
6517,128,3
6782,85,0
6788,118,2
6835,118,3
6874,131,3
6942,100,0
6976,101,3
7184,104,1
7197,110,3
7290,130,2
7299,75,0
7310,135,1
7311,142,1
7610,129,2
7622,119,2
7643,117,1
7692,110,1
7718,128,0
7772,142,3
8116,95,1
8174,116,1
8192,96,0
8223,112,2
8297,109,1
8474,106,2
8625,134,3
8633,122,3
8653,122,1
8654,114,1
8732,107,1
8776,112,2
8895,150,3
8932,71,0
8941,146,2
8948,61,0
8990,106,1
9402,86,1
9421,134,2
9445,127,2
9556,134,2
9560,152,2
9716,110,1
9769,157,3
9843,108,1
