subject,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,sample
1,35.57277595859678,217.59097612384397,81.29216089664263,15.914591872920603,28.559928269976226,6,7,FALSE,20.657345769871363,79.84276326226914,development
2,-20.83469620879727,113.24698891027477,-58.15343639038778,8.535322156427016,29.27843419695769,5,11,FALSE,18.088278924880566,90.34627235279976,development
3,50.439951233315156,188.35170539264632,-20.646274173425724,23.267885980641495,28.210577486339933,4,15,TRUE,15.23760887630313,123.92812166591379,development
4,-15.560116248675035,211.2056114492747,64.2009754758987,15.84833575966088,30.745783802389187,6,6,TRUE,13.41516597522562,121.40524117316158,development
5,-4.562739085607529,141.14861263381414,19.13378927558992,16.19925832726905,25.933261042670672,3,14,FALSE,22.832834715824326,111.39813428150576,development
6,14.53441383854138,231.99775870278393,7.948544768194239,15.185974829438374,28.338584312904896,5,16,TRUE,21.60102806107996,124.39613571978678,development
7,3.656386336670515,201.29619896976035,48.35775361011409,17.94197375990947,32.13690184606539,7,9,TRUE,23.377902745714145,123.98431512141642,development
8,51.357703848391004,197.78246157270718,29.005208857531443,20.510669939474077,37.32305517914057,4,20,FALSE,15.233190008178578,113.66166485236792,development
9,12.971051657871167,160.84222137477215,18.96686758259355,24.310917890709995,30.5131220365953,3,18,FALSE,10.55801210990866,91.6949584600596,development
10,-3.0386826074731133,189.46420087439748,74.12044540657857,18.880783336997453,32.007811886625525,7,17,FALSE,22.380535544109048,105.03187180195052,development
11,20.00917313127135,143.3803828977483,35.089928622778444,25.736980449859015,27.74596052785433,3,14,FALSE,32.75074457249359,122.73402044950042,development
12,12.637757349777603,172.2144194907225,-9.718210325412599,14.110245034641961,23.42073273634103,6,12,FALSE,25.76877889075225,68.05786524299066,development
13,8.71075554943499,99.4772142773336,-7.784411256846738,17.80026420048751,43.11969155067635,5,13,TRUE,21.931612749252587,100.319366915736,development
14,22.22439685693466,191.80825944574246,-46.341398959015834,18.637265359655878,34.22761275188481,2,14,FALSE,23.777514143043952,112.69416267030878,development
15,37.59606365319137,173.93172902605048,-19.820921390934615,6.4390433328441095,36.68190915050746,6,11,FALSE,22.98584807128831,120.5302615495814,development
16,13.476651028858182,123.25139598611379,68.63061711580286,20.708790153386975,29.683588530813182,6,12,FALSE,14.173671671914516,76.29507367433071,development
17,13.187176486182361,280.9886461394557,40.03580606879885,20.225566586359427,31.3696858794901,2,10,FALSE,22.965755363595477,106.94978763490568,development
18,6.719229828087374,246.6396242520923,29.97110869160656,20.604776416234092,33.63377670950037,2,12,FALSE,15.84402997409968,92.1202093190725,development
19,17.992070524647524,167.57570546716607,44.45794034433658,19.838751983428054,35.417656716848654,7,10,FALSE,20.910770611712092,92.81965193726754,development
20,27.650925845960856,60.564253833187394,-64.025756409167,21.900783156943668,28.097307537629586,2,11,FALSE,23.811660801320045,103.72903274794646,development
21,-13.929719147897295,124.4897865723036,14.26353811295283,19.595334052227134,24.021906210573754,4,9,FALSE,19.16742805097862,102.29811537053858,development
22,11.571458063148825,186.1210460992748,19.082035789568494,12.420591137067001,34.00216793997601,5,15,FALSE,21.077689009487496,98.40852349819264,development
23,33.40797763263338,216.1721882886102,66.0845935804129,12.635761807065087,32.509605391386664,5,7,FALSE,16.496198488232334,105.67562132267298,development
24,8.560470669699011,153.56658335867402,-8.602774842569175,16.26287455548528,31.516399103847274,8,12,FALSE,16.222285264550596,122.26752434968894,development
25,-24.697978442397286,155.9174315323279,-7.238347991321035,20.24554010831189,17.396342529565857,3,11,TRUE,22.029147798591236,70.75841845392662,development
26,-15.913694622141852,212.6318399787194,-3.711281538059808,19.370122503462387,22.01956480269975,5,14,TRUE,21.282998488112923,124.19041543376781,development
27,39.03466768218137,208.92646801419696,47.8166606021164,25.291025665991842,30.51579970039201,3,10,TRUE,27.527694214447617,77.63343858422664,development
28,-14.017144970838356,173.13639740293783,110.98232998616791,24.595402764565904,20.725422160578262,2,12,FALSE,15.533245527076945,93.93592337115088,development
29,14.143601697486963,215.45468150528143,6.528200673175917,17.105519870388374,34.85921971266143,3,11,TRUE,9.558829793294805,96.31126894449994,development
30,-27.08943142845378,138.0381983398016,-30.642927572334003,21.819699765912777,24.107617993787002,7,18,FALSE,20.63436859301511,99.64894733659051,development
31,4.1527700189885195,273.26526859889003,84.0269502338877,19.455706174171713,30.5353775064808,4,16,TRUE,16.899520208795433,113.67976309070873,development
32,7.875739415371181,189.75549629205472,106.19711262728649,16.593440037800782,33.07764343007052,3,13,FALSE,15.467096921449798,56.77317011877908,development
33,-3.0562447926460834,334.17805856622124,30.16629770465819,20.860076577287156,31.21598087779887,4,10,FALSE,18.360539155673575,62.68218219943079,development
34,16.63020725567782,269.01389183532484,110.63176009526671,20.699722491750162,38.81660239996437,6,9,TRUE,29.14819597894836,80.21872668771945,development
35,-21.689783681568073,183.5757590071957,13.374886876558378,14.659554596729745,29.88558541112124,4,15,FALSE,18.29856739816541,73.16118700827543,development
36,46.50114328853682,217.4179777545564,41.99420761442187,18.12900098201959,25.999955062922012,5,12,TRUE,15.232084770740723,131.28143888041038,development
37,-15.143972473933523,161.26588157670437,28.603011910364103,19.393758045999526,28.307335436413037,11,11,FALSE,15.119296544144257,88.57206875828379,development
38,-1.7814886883278085,162.20188111935357,59.71408625170423,22.880419533531665,30.170940706528057,7,15,FALSE,16.18042764239112,79.96886379326025,development
39,-27.837164777284308,132.48849370852298,36.98608290653078,20.581701106205855,22.8736581811551,6,12,FALSE,21.12844738121799,82.99095847487987,development
40,-2.050754964853571,181.89995815303473,-123.03019108236842,12.138137936550883,27.561710209391805,12,7,FALSE,18.360062861061053,84.00775507751507,development
41,6.66559757661942,194.21394705464945,-13.864046092468442,24.842706476637375,26.15373091104369,4,14,FALSE,11.850820014705292,94.37632732495574,development
42,33.8929052574496,222.60008614367578,-51.813566773566066,24.445992071370586,25.10925700283359,6,11,FALSE,20.60993827011308,129.3741939921297,development
