x1,x2,x3,x4,x5,y
78,12,1,18,72.9,11.7
94,11,1,4,93.2,11.2
115,5,0,4,5.2,-10.1
43,14,1,4,45.6,-10.1
107,1,1,4,112.2,3.7
75,7,0,3,-3.6,-33.8
99,9,1,6,95.1,25.5
66,8,0,3,5.6,-34.6
107,8,1,1,110.7,-3.4
68,6,1,1,71.4,5.5
53,12,1,6,52.6,10.9
85,14,0,1,-2.7,-35
54,8,1,2,53.1,-10.8
105,8,1,4,106.7,13.9
87,4,1,1,80.5,-0
89,10,1,0,87.7,0.8
63,13,1,3,63,-17.8
54,9,1,1,54,-1.3
80,10,1,9,76.9,-14.1
78,12,1,8,77,9.3
73,7,1,3,71.9,2.9
87,8,0,3,3.8,-22
100,7,1,6,96.6,12.2
114,6,0,2,0.1,-30.2
61,5,0,7,1.5,-17.7
58,7,0,1,-0.3,-18.9
66,5,0,5,5.1,-11
69,8,0,6,4,-4.6
78,7,1,4,81.2,-18.5
91,6,1,6,89.2,26.8
91,13,1,3,93.4,7.3
61,15,1,2,58.2,-14.3
68,11,1,2,67,-0.1
85,12,0,1,-4.6,-39.1
64,16,1,3,60.9,-3.4
74,10,1,1,80.1,-3.2
77,8,1,2,73.1,-13.9
67,7,1,5,68.1,-2.6
107,6,0,2,2.5,-37.1
96,6,1,3,96.4,7.9
75,11,1,1,75.5,11.2
84,12,1,2,86.8,-2.6
38,8,1,5,40.3,-2.1
39,6,1,2,41,-7.4
64,2,1,3,68.4,20.6
74,12,1,3,75.9,-2.8
61,6,1,2,59.7,-2.5
73,15,1,2,66.4,-16.2
63,9,1,7,69.7,-2.8
103,14,1,3,108.7,-1.8
51,8,1,0,51.4,-2.6
58,13,1,2,50.6,1
63,11,1,3,69.4,-6.7
77,10,1,6,75.1,0.4
79,6,1,2,82.8,-3.6
54,8,1,1,54.2,-11.5
42,12,1,3,47.8,-2
54,4,1,2,53.1,-6.2
72,13,1,3,65.4,-25.7
49,12,1,7,50.8,-10.4
67,12,1,1,62.6,-3.8
68,4,1,3,69.6,2.6
93,9,0,7,-5.2,-24.1
79,13,1,3,75.8,2.2
68,11,1,2,69.8,-7.8
48,12,1,4,46.1,-1.6
89,12,1,16,89.7,6.6
64,10,1,3,63.5,1.8
76,4,1,6,75.2,-1.2
82,11,0,6,5.1,-23.8
36,11,1,1,30.2,-1.1
79,5,1,3,79,-12.3
30,12,1,3,29,-24.9
60,6,1,5,58,-7.3
50,9,1,8,48.7,1.2
87,9,1,1,86.5,2.4
47,6,1,6,46.9,-2.5
109,10,0,10,1.3,-18.5
59,9,1,7,64.3,-3
69,8,1,11,62.5,-4.9
101,8,1,4,108.4,14.1
99,7,1,7,102.7,12.1
56,11,1,9,58.3,-5.4
53,11,1,3,59.7,-1.3
7,7,1,6,5.8,-10.8
91,12,1,13,90.9,16.6
35,9,1,1,37.8,9.2
63,8,1,2,65,-13.2
52,7,0,3,5.8,-25.3
82,13,0,5,-5.5,-35.1
107,8,1,10,109.9,-2.1
44,10,0,3,4.9,-19.3
51,10,1,8,52.3,1.6
82,8,1,2,75.7,1.2
33,10,1,3,35.2,-2.1
81,11,1,1,81,6.9
60,8,1,2,55.2,-6.9
101,12,1,5,105.5,-7.9
78,14,1,1,77.2,-7.2
84,10,1,4,82.2,-1.3
82,11,0,10,-4.7,-36.1
82,8,1,4,83.9,-13.2
96,9,1,7,96.2,-8.3
66,14,0,4,0.8,-22.8
42,5,0,3,1.8,-29.6
77,8,1,1,81.3,15.6
56,8,0,1,0.1,-18.2
49,12,1,2,46.3,-9.5
97,12,1,1,94.6,-0.1
58,14,0,2,-7.9,-29
75,16,1,2,80.5,-14.2
46,9,1,6,48.2,-4.8
57,11,1,1,54.5,-9.7
69,6,1,5,69.9,2.8
119,10,1,5,117.6,11.4
41,7,1,7,35.8,3.4
63,9,1,10,64.5,5.2
57,9,0,3,-2.2,4.7
74,7,1,9,68.7,13.2
78,6,1,7,80.7,-1.7
